Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.275000,13.348000,13.163000,13.346000,12.164503,2117000
2010-01-05,13.277000,13.403000,13.250000,13.403000,12.216456,1906000
2010-01-06,13.250000,13.510000,13.250000,13.463000,12.271146,1293000
2010-01-07,13.357000,13.689000,13.350000,13.678000,12.467112,2944000
2010-01-08,13.402000,13.750000,13.402000,13.719000,12.504480,1712000
2010-01-11,13.744000,13.775000,13.493000,13.510000,12.313985,2006000
2010-01-12,13.330000,13.346000,12.723000,12.812000,11.677776,4806000
2010-01-13,13.028000,13.028000,12.744000,12.932000,11.787154,3164000
2010-01-14,12.931000,13.030000,12.878000,12.989000,11.839108,1743000
2010-01-15,12.704000,12.989000,12.704000,12.867000,11.727906,2189000
2010-01-19,13.208000,13.891000,13.208000,13.863000,12.635734,4651000
2010-01-20,13.776000,13.776000,13.464000,13.647000,12.438857,1798000
2010-01-21,13.450000,13.450000,12.971000,13.038000,11.883769,2952000
2010-01-22,12.856000,12.978000,12.583000,12.583000,11.469049,3199000
2010-01-25,12.898000,12.995000,12.652000,12.847000,11.709679,2122000
2010-01-26,12.604000,12.645000,12.336000,12.374000,11.278553,2751000
2010-01-27,12.320000,12.341000,11.708000,11.879000,10.827374,5676000
2010-01-28,12.066000,12.134000,11.515000,11.607000,10.579453,4653000
2010-01-29,11.983000,12.150000,11.767000,11.830000,10.782712,4545000
2010-02-01,12.050000,12.064000,11.769000,11.965000,10.905759,2488000
2010-02-02,11.844000,12.057000,11.820000,12.038000,10.972298,1315000
2010-02-03,12.268000,12.388000,12.104000,12.161000,11.084410,1982000
2010-02-04,11.964000,11.964000,11.571000,11.579000,10.553931,3837000
2010-02-05,11.418000,11.516000,11.005000,11.143000,10.156530,7025000
2010-02-08,11.201000,11.209000,10.985000,11.083000,10.101842,4734000
2010-02-09,11.402000,11.402000,11.164000,11.343000,10.338825,6663000
2010-02-10,11.459000,11.634000,11.400000,11.485000,10.468251,2213000
2010-02-11,11.551000,11.657000,11.349000,11.639000,10.608621,1643000
2010-02-12,11.485000,11.618000,11.420000,11.577000,10.552109,815000
2010-02-16,11.579000,11.890000,11.572000,11.787000,10.743518,2550000
2010-02-17,11.944000,11.999000,11.743000,11.757000,10.716175,2110000
2010-02-18,11.955000,12.052000,11.878000,12.047000,10.980501,3595000
2010-02-19,11.852000,12.104000,11.852000,12.079000,11.009668,2250000
2010-02-22,12.030000,12.174000,12.014000,12.110000,11.037923,1992000
2010-02-23,12.100000,12.118000,11.963000,11.963000,10.903937,4606000
2010-02-24,12.034000,12.198000,12.034000,12.147000,11.071646,2814000
2010-02-25,12.000000,12.096000,11.911000,12.094000,11.023341,4100000
2010-02-26,12.216000,12.226000,12.118000,12.169000,11.091700,2766000
2010-03-01,12.230000,12.324000,12.196000,12.250000,11.165529,1950000
2010-03-02,12.464000,12.605000,12.370000,12.475000,11.370611,3831000
2010-03-03,12.614000,12.687000,12.309000,12.438000,11.336885,6909000
2010-03-04,12.463000,12.545000,12.335000,12.470000,11.366052,3074000
2010-03-05,12.510000,12.709000,12.487000,12.709000,11.583895,3265000
2010-03-08,12.768000,12.795000,12.602000,12.688000,11.564754,2218000
2010-03-09,12.688000,12.760000,12.568000,12.695000,11.571134,1709000
2010-03-10,12.896000,13.310000,12.807000,13.281000,12.105258,5093000
2010-03-11,13.323000,13.442000,13.096000,13.261000,12.087027,1810000
2010-03-12,13.350000,13.391000,13.066000,13.125000,11.963068,1582000
2010-03-15,13.036000,13.055000,12.830000,13.006000,11.854601,2460000
2010-03-16,13.032000,13.125000,12.940000,13.079000,11.921141,1690000
2010-03-17,13.085000,13.260000,13.024000,13.123000,11.961246,2079000
2010-03-18,13.123000,13.123000,12.824000,12.966000,11.818143,1984000
2010-03-19,12.933000,13.050000,12.620000,12.933000,11.788063,4985000
2010-03-22,12.850000,13.234000,12.801000,13.162000,11.996792,2752000
2010-03-23,13.299000,13.299000,13.087000,13.251000,12.077913,1652000
2010-03-24,13.232000,13.232000,13.039000,13.070000,11.912934,1477000
2010-03-25,13.290000,13.595000,13.289000,13.444000,12.253827,4213000
2010-03-26,13.567000,13.690000,13.339000,13.486000,12.292109,2718000
2010-03-29,13.613000,13.815000,13.513000,13.813000,12.590159,3173000
2010-03-30,13.680000,13.724000,13.514000,13.638000,12.430653,2023000
2010-03-31,13.620000,14.094000,13.620000,13.939000,12.705007,2599000
2010-04-01,14.094000,14.422000,14.000000,14.421000,13.144335,4796000
2010-04-05,14.549000,14.660000,14.423000,14.552000,13.263737,2439000
2010-04-06,14.521000,14.689000,14.454000,14.608000,13.314779,2098000
2010-04-07,14.538000,14.703000,14.331000,14.425000,13.147980,2264000
2010-04-08,14.279000,14.521000,14.129000,14.438000,13.159829,2089000
2010-04-09,14.569000,14.787000,14.569000,14.772000,13.464262,1820000
2010-04-12,14.674000,14.900000,14.581000,14.779000,13.470643,2001000
2010-04-13,14.732000,14.753000,14.351000,14.429000,13.151626,2581000
2010-04-14,14.563000,14.857000,14.464000,14.547000,13.259178,2298000
2010-04-15,14.499000,14.654000,14.455000,14.635000,13.339390,1984000
2010-04-16,14.758000,14.758000,14.327000,14.421000,13.144335,4393000
2010-04-19,14.303000,14.658000,14.303000,14.606000,13.312957,3261000
2010-04-20,14.786000,14.801000,14.595000,14.731000,13.426891,1978000
2010-04-21,14.834000,14.834000,14.602000,14.782000,13.473376,1381000
2010-04-22,14.734000,15.060000,14.583000,14.990000,13.662962,2057000
2010-04-23,15.001000,15.127000,14.895000,15.090000,13.754110,2471000
2010-04-26,15.338000,15.380000,15.219000,15.347000,13.988358,1802000
2010-04-27,15.295000,15.343000,14.791000,14.871000,13.554497,5181000
2010-04-28,14.982000,15.077000,14.830000,14.961000,13.636529,1709000
2010-04-29,15.151000,15.581000,15.151000,15.541000,14.165183,2127000
2010-04-30,15.637000,15.637000,14.911000,14.912000,13.591865,3400000
2010-05-03,15.148000,15.148000,14.826000,14.863000,13.547205,2691000
2010-05-04,14.520000,14.628000,14.084000,14.170000,12.915557,2758000
2010-05-05,14.064000,14.230000,13.831000,14.175000,12.920112,3202000
2010-05-06,13.950000,14.158000,13.103000,13.624000,12.417892,3912000
2010-05-07,13.401000,14.019000,13.110000,13.875000,12.646671,4808000
2010-05-10,14.689000,14.999000,14.474000,14.962000,13.637441,3316000
2010-05-11,14.662000,14.997000,14.602000,14.810000,13.498899,3116000
2010-05-12,14.965000,15.217000,14.903000,15.179000,13.835230,2601000
2010-05-13,15.107000,15.182000,14.836000,14.879000,13.561786,4471000
2010-05-14,14.686000,14.743000,14.318000,14.640000,13.343946,3225000
2010-05-17,14.661000,14.799000,14.039000,14.388000,13.114256,3275000
2010-05-18,14.305000,14.421000,13.836000,13.999000,12.759692,2709000
2010-05-19,13.708000,14.025000,13.643000,13.903000,12.672192,2991000
2010-05-20,13.606000,13.678000,13.187000,13.291000,12.114373,3562000
2010-05-21,13.150000,13.684000,13.116000,13.679000,12.468020,2894000
2010-05-24,13.530000,13.620000,13.346000,13.389000,12.203693,3562000
2010-05-25,12.977000,13.316000,12.670000,13.304000,12.126220,4263000
2010-05-26,13.473000,13.627000,13.039000,13.059000,11.902910,3503000
2010-05-27,13.624000,14.130000,13.357000,14.130000,12.879096,5178000
2010-05-28,14.137000,14.160000,13.749000,13.900000,12.669456,2377000
2010-06-01,13.320000,13.959000,13.320000,13.675000,12.464377,3197000
2010-06-02,13.847000,14.151000,13.649000,14.151000,12.898237,2365000
2010-06-03,14.300000,14.300000,14.013000,14.200000,12.942900,2400000
2010-06-04,13.899000,14.111000,13.742000,13.800000,12.578311,2304000
2010-06-07,13.800000,13.906000,13.444000,13.451000,12.260208,1746000
2010-06-08,13.752000,13.979000,13.521000,13.942000,12.707740,1791000
2010-06-09,13.876000,13.992000,13.628000,13.722000,12.580305,3040000
2010-06-10,14.092000,14.457000,14.092000,14.407000,13.208312,3171000
