Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,161.454544,163.609085,159.218185,159.800003,94.686996,1924433
2010-01-05,162.000000,162.527267,160.454544,161.372726,95.618896,2999595
2010-01-06,162.509094,164.963638,161.818176,162.754547,96.437660,4112662
2010-01-07,162.718185,162.727264,159.454544,160.954544,95.371101,1834882
2010-01-08,161.454544,161.818176,158.190903,158.872726,94.137558,2535021
2010-01-11,159.272720,160.909088,157.500000,158.000000,93.620438,2856661
2010-01-12,158.181824,158.181824,152.727264,153.127274,90.733170,4085872
2010-01-13,150.909088,153.236359,149.090912,152.709091,90.485382,6674634
2010-01-14,154.363632,161.454544,151.136368,151.927277,90.022125,6267997
2010-01-15,153.090912,154.181824,150.927277,152.936356,90.620041,3994941
2010-01-18,152.709091,157.600006,151.000000,156.972733,93.011742,5674536
2010-01-19,157.636368,159.090912,156.000000,156.981812,93.017113,3695790
2010-01-20,158.545456,160.800003,157.854538,159.481812,94.498466,4006182
2010-01-21,156.727264,158.909088,151.872726,155.154541,91.934402,5135013
2010-01-22,151.818176,154.127274,149.545456,152.845459,90.566177,4085096
2010-01-25,151.636368,152.545456,150.199997,151.199997,89.591194,3219435
2010-01-27,149.100006,149.981812,142.181824,143.672729,85.131027,7580429
2010-01-28,145.636368,148.763641,141.818176,143.390915,84.964043,8638151
2010-01-29,141.818176,152.545456,140.545456,150.981812,89.461922,14095547
2010-02-01,149.454544,153.963638,148.272720,151.390915,89.704323,4364881
2010-02-02,152.909088,153.090912,148.181824,148.590912,88.045227,4532192
2010-02-03,148.636368,153.381821,148.636368,152.399994,90.302223,4090085
2010-02-04,151.818176,154.372726,150.199997,150.781815,89.343414,3260635
2010-02-05,145.454544,147.272720,143.818176,145.154541,86.009064,4005533
2010-02-06,null,null,null,null,null,null
2010-02-08,147.272720,148.881821,143.090912,146.500000,86.806290,4716931
2010-02-09,146.000000,148.436356,144.063629,147.490906,87.393433,4614026
2010-02-10,149.090912,149.090912,145.090912,145.554550,86.246078,3128822
2010-02-11,146.890915,150.890915,146.890915,150.236359,89.020203,3973045
2010-02-15,151.090912,152.500000,147.909088,148.490906,87.985970,1903027
2010-02-16,148.909088,152.363632,148.727264,151.418182,89.720474,2061250
2010-02-17,152.363632,154.145447,151.018188,152.909088,90.603897,4369446
2010-02-18,152.927277,154.909088,151.454544,152.600006,90.420753,3826327
2010-02-19,152.545456,152.545456,148.581818,151.000000,89.472702,3226821
2010-02-22,150.545456,154.527267,150.545456,151.218185,89.601967,2012658
2010-02-23,150.000000,154.509094,150.000000,153.699997,91.072525,3929804
2010-02-24,153.636368,153.781815,151.854538,153.063629,90.695473,2338368
2010-02-25,154.163635,155.463638,151.290909,154.800003,91.724319,3500546
2010-02-26,154.000000,161.181824,152.909088,158.518188,93.927490,7928788
2010-03-02,160.927277,163.945450,160.927277,163.181824,96.690842,4268076
2010-03-03,164.000000,165.800003,162.645447,165.199997,97.886673,4715925
2010-03-04,165.818176,166.172729,161.818176,163.263641,96.739319,3090746
2010-03-05,163.827271,165.127274,162.118179,163.963638,97.154091,2691155
2010-03-08,166.363632,168.472733,166.000000,167.772720,99.411110,5836187
2010-03-09,167.654541,169.781815,165.309097,168.145447,99.631966,5001149
2010-03-10,168.181824,169.036362,165.181824,166.872726,98.877823,4558179
2010-03-11,166.363632,170.181824,166.363632,169.345459,100.342995,3798684
2010-03-12,170.000000,171.109085,169.463638,170.345459,100.935532,3152610
2010-03-15,169.090912,169.454544,166.436356,167.890915,99.481155,2452784
2010-03-16,167.727264,170.909088,165.845459,169.236359,100.278366,2172559
2010-03-17,170.636368,173.272720,170.181824,172.563629,102.249893,4492800
2010-03-18,173.272720,175.454544,172.409088,174.618179,103.467270,3506601
2010-03-19,174.909088,175.636368,172.754547,173.609085,102.869362,1976540
2010-03-22,169.818176,172.000000,167.472733,170.081818,100.779335,3879716
2010-03-23,170.872726,171.909088,167.654541,168.290909,99.718147,3422231
2010-03-25,168.363632,170.000000,166.000000,169.081818,100.186775,2488353
2010-03-26,170.909088,173.100006,170.000000,172.309097,102.099060,2446503
2010-03-29,171.636368,174.300003,170.818176,173.281815,102.675423,3289164
2010-03-30,171.090912,176.000000,171.090912,174.554550,103.429588,5277287
2010-03-31,175.454544,176.345459,172.618179,173.218185,102.637726,3097071
2010-04-01,173.090912,174.581818,171.818176,173.281815,102.675423,2329249
2010-04-05,174.554550,179.818176,174.554550,178.972733,106.047501,3889627
2010-04-06,179.127274,183.545456,179.127274,181.445450,107.512665,5805909
2010-04-07,181.272720,183.272720,178.181824,179.390915,106.295288,1973201
2010-04-08,177.563629,179.399994,174.018188,174.645447,103.483437,2202749
2010-04-09,176.727264,178.345459,175.445450,177.718185,105.304138,1749890
2010-04-12,178.272720,179.090912,174.927277,175.454544,103.962845,2063747
2010-04-13,175.090912,175.090912,171.027267,171.290909,101.495766,2039129
2010-04-15,173.636368,174.127274,166.509094,166.927277,98.910164,4039094
2010-04-16,168.000000,170.145447,166.363632,167.572723,99.292603,3127156
2010-04-19,165.636368,168.363632,164.345459,167.245453,99.098663,4039204
2010-04-20,166.363632,171.718185,166.363632,169.745453,100.580025,4647147
2010-04-21,172.000000,173.545456,170.545456,173.163635,102.605415,3635565
2010-04-22,174.545456,176.263641,170.000000,171.627274,101.695061,5089908
2010-04-23,172.545456,178.181824,171.363632,177.409088,105.120995,5691075
2010-04-26,180.000000,181.045456,174.318176,174.563629,103.434959,4332987
2010-04-27,174.563629,174.727264,171.845459,172.063629,101.953613,2905897
2010-04-28,170.909088,171.090912,166.127274,167.027267,98.969406,4337860
2010-04-29,167.272720,172.545456,166.545456,171.800003,101.797417,2312738
2010-04-30,173.618179,175.290909,171.845459,172.818176,102.400726,2735815
2010-05-03,171.818176,174.072723,169.972733,170.527267,101.043282,3503934
2010-05-04,171.818176,172.000000,165.336365,166.418182,98.608505,5706249
2010-05-05,163.636368,164.909088,160.909088,164.309097,97.358780,4510588
2010-05-06,163.454544,165.918182,162.018188,164.127274,97.251060,3318028
2010-05-07,161.818176,162.318176,158.181824,159.354538,94.423042,3689597
2010-05-10,161.818176,168.363632,160.927277,167.518188,99.260277,3770882
2010-05-11,167.272720,169.718185,165.181824,166.536362,98.678520,5112980
2010-05-12,166.727264,167.672729,164.781815,166.327271,98.554626,2272791
2010-05-13,167.454544,169.818176,167.454544,168.236359,99.685837,2488776
2010-05-14,167.290909,168.163635,164.909088,165.772720,98.226051,2560783
2010-05-17,163.090912,164.872726,160.645447,164.072723,97.218727,2766202
2010-05-18,163.636368,164.100006,160.727264,161.699997,95.812813,3123971
2010-05-19,160.609085,160.609085,148.790909,150.000000,88.880150,13199317
2010-05-20,151.272720,154.909088,148.236359,151.518188,89.779732,6421216
2010-05-21,147.272720,152.363632,146.927277,151.781815,89.935959,3710629
2010-05-24,154.000000,154.909088,150.000000,151.272720,89.634293,2963889
2010-05-25,149.636368,150.181824,146.054550,147.163635,87.199509,4218658
2010-05-26,148.181824,154.727264,147.818176,154.109085,91.314934,3909746
2010-05-27,152.363632,156.454544,151.454544,155.745453,92.284546,3957095
2010-05-28,156.372726,159.345459,154.181824,157.045456,93.054817,3492262
2010-05-31,157.272720,158.800003,155.454544,157.645447,93.410347,3261262
2010-06-01,157.272720,157.272720,151.454544,152.427277,90.318405,3220458
2010-06-02,152.709091,154.145447,151.100006,153.290909,90.830139,3113230
2010-06-03,155.254547,156.163635,154.363632,155.045456,91.869766,1865665
2010-06-04,155.454544,158.181824,155.036362,157.527267,93.340324,2893258
2010-06-07,152.727264,154.363632,151.018188,153.127274,90.733170,1740700
2010-06-08,151.818176,153.618179,147.881821,148.527267,88.007515,3778747
2010-06-09,148.000000,152.500000,148.000000,150.354538,89.090233,3736699
2010-06-10,149.090912,151.636368,146.363632,150.772720,97.086639,3320492
2010-06-11,151.981812,154.000000,151.272720,153.699997,98.971581,3998780
2010-06-14,154.527267,156.145447,153.500000,155.390915,100.060417,2200433
2010-06-15,154.727264,156.363632,152.754547,155.863632,100.364815,2144229
2010-06-16,156.363632,160.054550,156.363632,159.563629,102.747345,4081263
2010-06-17,161.818176,161.990906,153.990906,160.736359,103.502495,13735457
2010-06-18,159.927277,160.709091,156.963638,157.672729,101.529747,2736766
2010-06-21,160.000000,165.236359,159.454544,163.809097,105.481102,5523941
2010-06-22,162.727264,164.545456,161.699997,162.390915,104.567909,2813618
2010-06-23,160.727264,164.545456,160.390915,164.000000,105.604042,3186655
2010-06-24,163.636368,163.963638,160.000000,160.881821,103.596153,1962042
2010-06-25,159.272720,160.327271,154.872726,155.909088,100.394073,3505628
2010-06-28,154.727264,158.363632,154.727264,157.927277,101.693649,2399522
2010-06-29,156.909088,157.818176,153.090912,154.336365,99.381371,2970395
2010-06-30,151.818176,157.254547,151.681824,156.727264,100.920929,3469146
2010-07-01,155.272720,155.454544,152.236359,152.981812,98.509132,3725688
2010-07-02,152.363632,154.181824,151.654541,152.745453,98.356934,3123927
2010-07-05,150.872726,153.754547,150.872726,152.909088,98.462303,1344353
2010-07-06,153.090912,156.572723,152.545456,156.145447,100.546280,2734594
2010-07-07,155.418182,155.454544,153.472733,153.845459,99.065269,3032413
